IMAGE_ID	GENE_EXPR_OPTION	SEQ_ID	PROBE_ID	POSITION	X	Y	MATCH_INDEX	SEQ_URL	PM	MM
71420_635	BLOCK1	MM6MSPIS00690755	CHRXP81294872	309	1	1	38830364	NA	309.44	0
71420_635	BLOCK1	MM6MSPIS00292185	CHR7P94610020	962	25	1	38736342	NA	1159.67	0
71420_635	BLOCK1	MM6MSPIS00288594	CHR7P77493528	192	27	1	38606925	NA	544.67	0
71420_635	BLOCK1	MM6MSPIS00229944	CHR6P06276136	572	29	1	38683061	NA	1241	0
71420_635	BLOCK1	MM6MSPIS00694154	CHRXP99065670	1568	31	1	38570145	NA	187	0
71420_635	BLOCK1	MM6MSPIS00699293	CHRXP133973448	242	33	1	38747095	NA	382.78	0
71420_635	BLOCK1	MM6MSPIS00230317	CHR6P07762362	453	35	1	38603439	NA	267.89	0
71420_635	BLOCK1	MM6MSPIS00683023	CHRXP33314570	2	37	1	38605792	NA	333.67	0
71420_635	BLOCK1	MM6MSPIS00283989	CHR7P61447495	360	39	1	38536854	NA	502.22	0
71420_635	BLOCK1	MM6MSPIS00283895	CHR7P61243254	156	41	1	38761181	NA	793	0
71420_635	BLOCK1	MM6MSPIS00289537	CHR7P83808698	1094	43	1	38838717	NA	500.11	0
71420_635	BLOCK1	MM6MSPIS00683546	CHRXP37045014	59	45	1	38781688	NA	346.89	0
71420_635	BLOCK1	MM6MSPIS00285057	CHR7P65433141	676	47	1	38704406	NA	392.89	0
71420_635	BLOCK1	MM6MSPIS00266601	CHR7P05987532	422	49	1	38709078	NA	5074.33	0
71420_635	BLOCK1	MM6MSPIS00688389	CHRXP67548685	951	2	2	38856042	NA	274.67	0
71420_635	BLOCK1	MM6MSPIS00683159	CHRXP34262972	231	24	2	38622478	NA	579	0
71420_635	BLOCK1	MM6MSPIS00291591	CHR7P93323121	39	26	2	38656698	NA	366.89	0
71420_635	BLOCK1	MM6MSPIS00287668	CHR7P74667828	182	28	2	38611041	NA	10390.78	0
71420_635	BLOCK1	MM6MSPIS00636950	CHR18P13160086	1462	30	2	38711398	NA	369.89	0
71420_635	BLOCK1	MM6MSPIS00702262	CHRXP151247929	231	32	2	38512003	NA	956	0
71420_635	BLOCK1	MM6MSPIS00284241	CHR7P61921852	292	34	2	38584281	NA	608.22	0
71420_635	BLOCK1	MM6MSPIS00684316	CHRXP42843451	18	36	2	38750237	NA	282.56	0
71420_635	BLOCK1	MM6MSPIS00289702	CHR7P84360528	118	38	2	38541751	NA	271	0
71420_635	BLOCK1	MM6MSPIS00282951	CHR7P58899391	662	40	2	38584938	NA	809	0
71420_635	BLOCK1	MM6MSPIS00690761	CHRXP81314481	334	42	2	38858185	NA	288.33	0
71420_635	BLOCK1	MM6MSPIS00302853	CHR7P128839446	750	44	2	38718288	NA	465.11	0
71420_635	BLOCK1	MM6MSPIS00675941	CHR19P56460790	52	46	2	38587936	NA	261.44	0
71420_635	BLOCK1	MM6MSPIS00695680	CHRXP109526093	142	48	2	38523748	NA	313.78	0
71420_635	BLOCK1	MM6MSPIS00293891	CHR7P101608905	82	50	2	38593466	NA	362.44	0
71420_635	BLOCK1	MM6MSPIS00688788	CHRXP68842828	293	1	3	38793855	NA	333.44	0
71420_635	BLOCK1	MM6MSPIS00288372	CHR7P76540166	352	15	3	38823765	NA	355.56	0
71420_635	BLOCK1	MM6MSPIS00293443	CHR7P99269343	122	17	3	38668153	NA	745.33	0
71420_635	BLOCK1	MM6MSPIS00229798	CHR6P05814180	506	19	3	38817165	NA	217.67	0
71420_635	BLOCK1	MM6MSPIS00299343	CHR7P120650549	66	21	3	38525297	NA	936.78	0
71420_635	BLOCK1	MM6MSPIS00701000	CHRXP143923168	2	23	3	38718774	NA	880.67	0
71420_635	BLOCK1	MM6MSPIS00446454	CHR11P87199582	107	25	3	38619069	NA	2098.33	0
71420_635	BLOCK1	MM6MSPIS00294487	CHR7P104019343	2	27	3	38852982	NA	1543.67	0
71420_635	BLOCK1	MM6MSPIS00297229	CHR7P113748707	368	29	3	38729800	NA	326.89	0
71420_635	BLOCK1	MM6MSPIS00303612	CHR7P130899566	542	31	3	38630489	NA	804.89	0
71420_635	BLOCK1	MM6MSPIS00301460	CHR7P125199294	592	33	3	38687143	NA	314.56	0
71420_635	BLOCK1	MM6MSPIS00695303	CHRXP106686167	72	35	3	38526497	NA	390.44	0
71420_635	BLOCK1	MM6MSPIS00303220	CHR7P129877291	212	37	3	38675254	NA	894.44	0
71420_635	BLOCK1	MM6MSPIS00294034	CHR7P102441588	619	39	3	38661264	NA	230.44	0
71420_635	BLOCK1	MM6MSPIS00701251	CHRXP145132364	62	41	3	38675512	NA	341.78	0
71420_635	BLOCK1	MM6MSPIS00296387	CHR7P110867738	929	43	3	38659391	NA	294.78	0
71420_635	BLOCK1	MM6MSPIS00295538	CHR7P107122239	22	45	3	38616786	NA	338.78	0
71420_635	BLOCK1	MM6MSPIS00292353	CHR7P95003976	132	47	3	38861711	NA	3923.44	0
71420_635	BLOCK1	MM6MSPIS00305962	CHR7P136368004	392	49	3	38521557	NA	924.44	0
71420_635	BLOCK1	MM6MSPIS00703946	CHRXP161158791	611	2	4	38711565	NA	405.67	0
71420_635	BLOCK1	MM6MSPIS00299547	CHR7P120990914	462	16	4	38877632	NA	4493.67	0
71420_635	BLOCK1	MM6MSPIS00258389	CHR6P125953387	60	18	4	38726891	NA	333.78	0
71420_635	BLOCK1	MM6MSPIS00297415	CHR7P114632058	640	20	4	38514231	NA	313.11	0
71420_635	BLOCK1	MM6MSPIS00293328	CHR7P98405425	22	22	4	38723516	NA	1454.89	0
71420_635	BLOCK1	MM6MSPIS00288363	CHR7P76475775	584	24	4	38805754	NA	369.78	0
71420_635	BLOCK1	MM6MSPIS00292008	CHR7P94188745	202	26	4	38513552	NA	908.22	0
71420_635	BLOCK1	MM6MSPIS00292401	CHR7P95074173	42	28	4	38799780	NA	1281	0
71420_635	BLOCK1	MM6MSPIS00296179	CHR7P110129580	323	30	4	38712972	NA	1939.22	0
71420_635	BLOCK1	MM6MSPIS00305162	CHR7P134565026	704	32	4	38868375	NA	874.89	0
71420_635	BLOCK1	MM6MSPIS00297949	CHR7P116097159	92	34	4	38770203	NA	1469.56	0
71420_635	BLOCK1	MM6MSPIS00297833	CHR7P115847423	1245	36	4	38874287	NA	334.89	0
71420_635	BLOCK1	MM6MSPIS00288056	CHR7P75538014	312	38	4	38685107	NA	1249.56	0
71420_635	BLOCK1	MM6MSPIS00686171	CHRXP52065207	1675	40	4	38722600	NA	283.67	0
71420_635	BLOCK1	MM6MSPIS00302435	CHR7P127609746	696	42	4	38778810	NA	433.22	0
71420_635	BLOCK1	MM6MSPIS00306070	CHR7P136771560	729	44	4	38533621	NA	3751	0
71420_635	BLOCK1	MM6MSPIS00446459	CHR11P87215512	126	46	4	38715943	NA	765.22	0
71420_635	BLOCK1	MM6MSPIS00283667	CHR7P60534914	282	48	4	38793172	NA	502.89	0
71420_635	BLOCK1	MM6MSPIS00292401	CHR7P95074723	592	50	4	38522961	NA	2224.56	0
71420_635	BLOCK1	MM6MSPIS00691946	CHRXP89106730	32	1	5	38697653	NA	634.22	0
71420_635	BLOCK1	MM6MSPIS00283633	CHR7P60416639	32	15	5	38566617	NA	519	0
71420_635	BLOCK1	MM6MSPIS00294145	CHR7P103029360	1131	17	5	38583175	NA	3883.89	0
71420_635	BLOCK1	MM6MSPIS00704113	CHRXP162919798	2	19	5	38591058	NA	1590.11	0
71420_635	BLOCK1	MM6MSPIS00679269	CHRXP10458555	723	21	5	38818253	NA	305.11	0
71420_635	BLOCK1	MM6MSPIS00303326	CHR7P130101567	315	23	5	38837127	NA	800	0
71420_635	BLOCK1	MM6MSPIS00693013	CHRXP94578154	322	25	5	38829258	NA	7904	0
71420_635	BLOCK1	MM6MSPIS00697213	CHRXP120307281	778	27	5	38807383	NA	306.33	0
71420_635	BLOCK1	MM6MSPIS00303426	CHR7P130351830	123	29	5	38746103	NA	859.67	0
71420_635	BLOCK1	MM6MSPIS00704155	CHRXP163289471	917	31	5	38529884	NA	271.56	0
71420_635	BLOCK1	MM6MSPIS00680580	CHRXP18841894	583	33	5	38729110	NA	384.78	0
71420_635	BLOCK1	MM6MSPIS00682602	CHRXP31698303	1400	35	5	38533157	NA	314.89	0
71420_635	BLOCK1	MM6MSPIS00230452	CHR6P08478988	12	37	5	38561028	NA	528.22	0
71420_635	BLOCK1	MM6MSPIS00439413	CHR11P70470172	172	39	5	38542977	NA	7658.89	0
71420_635	BLOCK1	MM6MSPIS00229987	CHR6P06508021	302	41	5	38814817	NA	544	0
71420_635	BLOCK1	MM6MSPIS00283524	CHR7P60185685	682	43	5	38747664	NA	441.89	0
71420_635	BLOCK1	MM6MSPIS00304237	CHR7P132484846	62	45	5	38620054	NA	1315.44	0
71420_635	BLOCK1	MM6MSPIS00683269	CHRXP35353573	978	47	5	38522121	NA	390.78	0
71420_635	BLOCK1	MM6MSPIS00230483	CHR6P08616509	322	49	5	38877785	NA	678.56	0
71420_635	BLOCK1	MM6MSPIS00285044	CHR7P65337166	1456	2	6	38819572	NA	371.44	0
71420_635	BLOCK1	MM6MSPIS00294338	CHR7P103602606	173	16	6	38800734	NA	862.56	0
71420_635	BLOCK1	MM6MSPIS00537055	CHR14P51026672	711	18	6	38521173	NA	576.89	0
71420_635	BLOCK1	MM6MSPIS00684430	CHRXP43042075	412	20	6	38723558	NA	356.78	0
71420_635	BLOCK1	MM6MSPIS00292039	CHR7P94270465	736	22	6	38780206	NA	627.22	0
71420_635	BLOCK1	MM6MSPIS00691789	CHRXP88582400	442	24	6	38548241	NA	278.78	0
71420_635	BLOCK1	MM6MSPIS00688583	CHRXP68205947	152	26	6	38689868	NA	316.44	0
71420_635	BLOCK1	MM6MSPIS00229439	CHR6P04547113	3	28	6	38723868	NA	300.78	0
71420_635	BLOCK1	MM6MSPIS00702232	CHRXP151167838	152	30	6	38686029	NA	388.56	0
71420_635	BLOCK1	MM6MSPIS00608007	CHR17P11571942	62	32	6	38709473	NA	4503.22	0
71420_635	BLOCK1	MM6MSPIS00578096	CHR15P97118101	252	34	6	38672106	NA	960.56	0
71420_635	BLOCK1	MM6MSPIS00304932	CHR7P134231530	692	36	6	38864864	NA	4794.22	0
71420_635	BLOCK1	MM6MSPIS00304599	CHR7P133582120	1042	38	6	38725708	NA	527.22	0
71420_635	BLOCK1	MM6MSPIS00304825	CHR7P134004256	22	40	6	38789810	NA	301	0
