PROBE_ID	SEQ_ID	CHROMOSOME	POSITION	COUNT	LENGTH	GC
CHRXP81294872	MM6MSPIS00690755	chrX	81294872	1	50	0.34
CHR7P94610020	MM6MSPIS00292185	chr7	94610020	1	50	0.6
CHR7P77493528	MM6MSPIS00288594	chr7	77493528	1	50	0.46
CHR6P06276136	MM6MSPIS00229944	chr6	6276136	1	50	0.4
CHRXP99065670	MM6MSPIS00694154	chrX	99065670	1	50	0.46
CHRXP133973448	MM6MSPIS00699293	chrX	133973448	1	50	0.36
CHR6P07762362	MM6MSPIS00230317	chr6	7762362	1	50	0.36
CHRXP33314570	MM6MSPIS00683023	chrX	33314570	1	50	0.46
CHR7P61447495	MM6MSPIS00283989	chr7	61447495	1	50	0.36
CHR7P61243254	MM6MSPIS00283895	chr7	61243254	1	50	0.4
CHR7P83808698	MM6MSPIS00289537	chr7	83808698	1	50	0.36
CHRXP37045014	MM6MSPIS00683546	chrX	37045014	1	50	0.48
CHR7P65433141	MM6MSPIS00285057	chr7	65433141	1	50	0.44
CHR7P05987532	MM6MSPIS00266601	chr7	5987532	1	50	0.48
CHRXP67548685	MM6MSPIS00688389	chrX	67548685	1	50	0.42
CHRXP34262972	MM6MSPIS00683159	chrX	34262972	1	50	0.3
CHR7P93323121	MM6MSPIS00291591	chr7	93323121	1	50	0.54
CHR7P74667828	MM6MSPIS00287668	chr7	74667828	1	50	0.6
CHR18P13160086	MM6MSPIS00636950	chr18	13160086	1	50	0.58
CHRXP151247929	MM6MSPIS00702262	chrX	151247929	1	50	0.28
CHR7P61921852	MM6MSPIS00284241	chr7	61921852	1	50	0.54
CHRXP42843451	MM6MSPIS00684316	chrX	42843451	1	50	0.4
CHR7P84360528	MM6MSPIS00289702	chr7	84360528	1	50	0.34
CHR7P58899391	MM6MSPIS00282951	chr7	58899391	1	50	0.34
CHRXP81314481	MM6MSPIS00690761	chrX	81314481	1	50	0.24
CHR7P128839446	MM6MSPIS00302853	chr7	128839446	1	50	0.42
CHR19P56460790	MM6MSPIS00675941	chr19	56460790	1	50	0.38
CHRXP109526093	MM6MSPIS00695680	chrX	109526093	1	50	0.26
CHR7P101608905	MM6MSPIS00293891	chr7	101608905	1	50	0.48
CHRXP68842828	MM6MSPIS00688788	chrX	68842828	1	50	0.32
CHR7P76540166	MM6MSPIS00288372	chr7	76540166	1	50	0.32
CHR7P99269343	MM6MSPIS00293443	chr7	99269343	1	50	0.42
CHR6P05814180	MM6MSPIS00229798	chr6	5814180	1	50	0.38
CHR7P120650549	MM6MSPIS00299343	chr7	120650549	1	50	0.56
CHRXP143923168	MM6MSPIS00701000	chrX	143923168	1	50	0.62
CHR11P87199582	MM6MSPIS00446454	chr11	87199582	1	50	0.22
CHR7P104019343	MM6MSPIS00294487	chr7	104019343	1	50	0.56
CHR7P113748707	MM6MSPIS00297229	chr7	113748707	1	50	0.42
CHR7P130899566	MM6MSPIS00303612	chr7	130899566	1	50	0.52
CHR7P125199294	MM6MSPIS00301460	chr7	125199294	1	50	0.38
CHRXP106686167	MM6MSPIS00695303	chrX	106686167	1	50	0.44
CHR7P129877291	MM6MSPIS00303220	chr7	129877291	1	50	0.42
CHR7P102441588	MM6MSPIS00294034	chr7	102441588	1	50	0.44
CHRXP145132364	MM6MSPIS00701251	chrX	145132364	1	50	0.46
CHR7P110867738	MM6MSPIS00296387	chr7	110867738	1	50	0.5
CHR7P107122239	MM6MSPIS00295538	chr7	107122239	1	50	0.42
CHR7P95003976	MM6MSPIS00292353	chr7	95003976	1	50	0.5
CHR7P136368004	MM6MSPIS00305962	chr7	136368004	1	50	0.58
CHRXP161158791	MM6MSPIS00703946	chrX	161158791	1	50	0.46
CHR7P120990914	MM6MSPIS00299547	chr7	120990914	1	50	0.58
CHR6P125953387	MM6MSPIS00258389	chr6	125953387	1	50	0.46
CHR7P114632058	MM6MSPIS00297415	chr7	114632058	1	50	0.4
CHR7P98405425	MM6MSPIS00293328	chr7	98405425	1	50	0.34
CHR7P76475775	MM6MSPIS00288363	chr7	76475775	1	50	0.52
CHR7P94188745	MM6MSPIS00292008	chr7	94188745	1	50	0.44
CHR7P95074173	MM6MSPIS00292401	chr7	95074173	1	50	0.52
CHR7P110129580	MM6MSPIS00296179	chr7	110129580	1	50	0.44
CHR7P134565026	MM6MSPIS00305162	chr7	134565026	1	50	0.56
CHR7P116097159	MM6MSPIS00297949	chr7	116097159	1	50	0.52
CHR7P115847423	MM6MSPIS00297833	chr7	115847423	1	50	0.32
CHR7P75538014	MM6MSPIS00288056	chr7	75538014	1	50	0.42
CHRXP52065207	MM6MSPIS00686171	chrX	52065207	1	50	0.32
CHR7P127609746	MM6MSPIS00302435	chr7	127609746	1	50	0.4
CHR7P136771560	MM6MSPIS00306070	chr7	136771560	1	50	0.46
CHR11P87215512	MM6MSPIS00446459	chr11	87215512	1	50	0.58
CHR7P60534914	MM6MSPIS00283667	chr7	60534914	1	50	0.6
CHR7P95074723	MM6MSPIS00292401	chr7	95074723	1	50	0.5
CHRXP89106730	MM6MSPIS00691946	chrX	89106730	1	50	0.56
CHR7P60416639	MM6MSPIS00283633	chr7	60416639	1	50	0.56
CHR7P103029360	MM6MSPIS00294145	chr7	103029360	1	50	0.4
CHRXP162919798	MM6MSPIS00704113	chrX	162919798	1	50	0.68
CHRXP10458555	MM6MSPIS00679269	chrX	10458555	1	50	0.52
CHR7P130101567	MM6MSPIS00303326	chr7	130101567	1	50	0.38
CHRXP94578154	MM6MSPIS00693013	chrX	94578154	1	50	0.38
CHRXP120307281	MM6MSPIS00697213	chrX	120307281	1	50	0.2
CHR7P130351830	MM6MSPIS00303426	chr7	130351830	1	50	0.38
CHRXP163289471	MM6MSPIS00704155	chrX	163289471	1	50	0.28
CHRXP18841894	MM6MSPIS00680580	chrX	18841894	1	50	0.4
CHRXP31698303	MM6MSPIS00682602	chrX	31698303	1	50	0.3
CHR6P08478988	MM6MSPIS00230452	chr6	8478988	1	50	0.38
CHR11P70470172	MM6MSPIS00439413	chr11	70470172	1	50	0.58
CHR6P06508021	MM6MSPIS00229987	chr6	6508021	1	50	0.46
CHR7P60185685	MM6MSPIS00283524	chr7	60185685	1	50	0.46
CHR7P132484846	MM6MSPIS00304237	chr7	132484846	1	50	0.4
CHRXP35353573	MM6MSPIS00683269	chrX	35353573	1	50	0.24
CHR6P08616509	MM6MSPIS00230483	chr6	8616509	1	50	0.36
CHR7P65337166	MM6MSPIS00285044	chr7	65337166	1	50	0.48
CHR7P103602606	MM6MSPIS00294338	chr7	103602606	1	50	0.44
CHR14P51026672	MM6MSPIS00537055	chr14	51026672	1	50	0.44
CHRXP43042075	MM6MSPIS00684430	chrX	43042075	1	50	0.3
CHR7P94270465	MM6MSPIS00292039	chr7	94270465	1	50	0.5
CHRXP88582400	MM6MSPIS00691789	chrX	88582400	1	50	0.5
CHRXP68205947	MM6MSPIS00688583	chrX	68205947	1	50	0.54
CHR6P04547113	MM6MSPIS00229439	chr6	4547113	1	50	0.46
CHRXP151167838	MM6MSPIS00702232	chrX	151167838	1	50	0.46
CHR17P11571942	MM6MSPIS00608007	chr17	11571942	1	50	0.6
CHR15P97118101	MM6MSPIS00578096	chr15	97118101	1	50	0.44
CHR7P134231530	MM6MSPIS00304932	chr7	134231530	1	50	0.5
CHR7P133582120	MM6MSPIS00304599	chr7	133582120	1	50	0.5
CHR7P134004256	MM6MSPIS00304825	chr7	134004256	1	50	0.44
CHR7P66034605	MM6MSPIS00285150	chr7	66034605	1	50	0.28
CHRXP152970983	MM6MSPIS00702507	chrX	152970983	1	50	0.46
CHR6P06270680	MM6MSPIS00229940	chr6	6270680	1	50	0.44
CHR7P75044896	MM6MSPIS00287839	chr7	75044896	1	50	0.52
CHRXP56865756	MM6MSPIS00686961	chrX	56865756	1	50	0.28
CHR7P119244542	MM6MSPIS00298669	chr7	119244542	1	50	0.42
CHR7P84507818	MM6MSPIS00289738	chr7	84507818	1	50	0.38
CHR7P129431621	MM6MSPIS00303070	chr7	129431621	1	50	0.4
CHR6P06480047	MM6MSPIS00229984	chr6	6480047	1	50	0.46
CHRXP43421470	MM6MSPIS00684522	chrX	43421470	1	50	0.46
CHRXP137052549	MM6MSPIS00699846	chrX	137052549	1	50	0.56
CHR2P177966069	MM6MSPIS00096099	chr2	177966069	1	50	0.62
CHR7P103678356	MM6MSPIS00294359	chr7	103678356	1	50	0.48
CHR17P11863196	MM6MSPIS00608113	chr17	11863196	1	50	0.42
CHRXP52145062	MM6MSPIS00686182	chrX	52145062	1	50	0.22
CHRXP19159868	MM6MSPIS00680685	chrX	19159868	1	50	0.72
CHR7P107887532	MM6MSPIS00295706	chr7	107887532	1	50	0.44
CHRXP10042542	MM6MSPIS00679049	chrX	10042542	1	50	0.6
CHRXP140802178	MM6MSPIS00700333	chrX	140802178	1	50	0.4
CHR7P91818427	MM6MSPIS00290913	chr7	91818427	1	50	0.44
CHR7P132455754	MM6MSPIS00304232	chr7	132455754	1	50	0.5
CHR7P56538069	MM6MSPIS00282331	chr7	56538069	1	50	0.4
CHRXP05965434	MM6MSPIS00677946	chrX	5965434	1	50	0.58
CHR7P137559077	MM6MSPIS00306435	chr7	137559077	1	50	0.4
CHR7P117212738	MM6MSPIS00298262	chr7	117212738	1	50	0.4
CHR7P62202572	MM6MSPIS00284400	chr7	62202572	1	50	0.38
CHR7P92152785	MM6MSPIS00291015	chr7	92152785	1	50	0.5
CHR7P119898330	MM6MSPIS00298948	chr7	119898330	1	50	0.5
CHRXP88987818	MM6MSPIS00691916	chrX	88987818	1	50	0.36
CHRXP126440097	MM6MSPIS00697907	chrX	126440097	1	50	0.34
CHR7P127627932	MM6MSPIS00302449	chr7	127627932	1	50	0.56
CHR7P125377989	MM6MSPIS00301556	chr7	125377989	1	50	0.48
CHR7P105109514	MM6MSPIS00294850	chr7	105109514	1	50	0.48
CHRXP139824819	MM6MSPIS00700212	chrX	139824819	1	50	0.32
CHR7P123163027	MM6MSPIS00300676	chr7	123163027	1	50	0.42
CHR7P05231708	MM6MSPIS00266348	chr7	5231708	1	50	0.28
CHR7P73296331	MM6MSPIS00286816	chr7	73296331	1	50	0.62
CHR6P49618156	MM6MSPIS00238572	chr6	49618156	1	50	0.46
CHR6P08618289	MM6MSPIS00230485	chr6	8618289	1	50	0.42
CHRXP10571573	MM6MSPIS00679333	chrX	10571573	1	50	0.48
CHR7P117271682	MM6MSPIS00298282	chr7	117271682	1	50	0.5
CHR7P117641511	MM6MSPIS00298407	chr7	117641511	1	50	0.6
CHRXP80229712	MM6MSPIS00690600	chrX	80229712	1	50	0.44
CHRXP18968842	MM6MSPIS00680645	chrX	18968842	1	50	0.44
CHR7P75435326	MM6MSPIS00288005	chr7	75435326	1	50	0.36
CHR7P127369119	MM6MSPIS00302287	chr7	127369119	1	50	0.56
CHR7P121443496	MM6MSPIS00299874	chr7	121443496	1	50	0.44
CHR7P120052530	MM6MSPIS00299021	chr7	120052530	1	50	0.56
CHR7P139392500	MM6MSPIS00307238	chr7	139392500	1	50	0.38
CHRXP71688072	MM6MSPIS00689450	chrX	71688072	1	50	0.22
CHR7P126190847	MM6MSPIS00301832	chr7	126190847	1	50	0.44
CHR7P133544009	MM6MSPIS00304578	chr7	133544009	1	50	0.5
CHR7P115812855	MM6MSPIS00297819	chr7	115812855	1	50	0.54
CHRXP85709713	MM6MSPIS00691250	chrX	85709713	1	50	0.5
CHR7P77610477	MM6MSPIS00288623	chr7	77610477	1	50	0.54
CHRXP70856719	MM6MSPIS00689297	chrX	70856719	1	50	0.48
CHR7P113641404	MM6MSPIS00297208	chr7	113641404	1	50	0.38
CHR7P106787715	MM6MSPIS00295395	chr7	106787715	1	50	0.52
CHR7P96004839	MM6MSPIS00292805	chr7	96004839	1	50	0.52
CHR7P104460936	MM6MSPIS00294596	chr7	104460936	1	50	0.38
CHR7P121285303	MM6MSPIS00299782	chr7	121285303	1	50	0.58
CHR7P121083337	MM6MSPIS00299628	chr7	121083337	1	50	0.58
CHRXP105782796	MM6MSPIS00695186	chrX	105782796	1	50	0.42
CHR7P59965690	MM6MSPIS00283416	chr7	59965690	1	50	0.56
CHR7P74207621	MM6MSPIS00287426	chr7	74207621	1	50	0.42
CHRXP69090450	MM6MSPIS00688898	chrX	69090450	1	50	0.54
CHRXP66329693	MM6MSPIS00688178	chrX	66329693	1	50	0.38
CHR7P139580621	MM6MSPIS00307313	chr7	139580621	1	50	0.56
CHR7P107131277	MM6MSPIS00295542	chr7	107131277	1	50	0.38
CHRXP13430167	MM6MSPIS00679836	chrX	13430167	1	50	0.3
CHRXP57775831	MM6MSPIS00687067	chrX	57775831	1	50	0.34
CHR7P109182681	MM6MSPIS00295929	chr7	109182681	1	50	0.32
CHR7P132114178	MM6MSPIS00304143	chr7	132114178	1	50	0.44
CHRXP121900028	MM6MSPIS00697446	chrX	121900028	1	50	0.26
CHRXP46419650	MM6MSPIS00685115	chrX	46419650	1	50	0.42
CHRXP123043151	MM6MSPIS00697579	chrX	123043151	1	50	0.28
CHRXP47441708	MM6MSPIS00685335	chrX	47441708	1	50	0.46
CHR7P131447874	MM6MSPIS00303814	chr7	131447874	1	50	0.48
CHR14P64638277	MM6MSPIS00541816	chr14	64638277	1	50	0.38
CHR7P134561252	MM6MSPIS00305155	chr7	134561252	1	50	0.52
CHR7P110124247	MM6MSPIS00296171	chr7	110124247	1	50	0.44
CHR7P62073075	MM6MSPIS00284309	chr7	62073075	1	50	0.48
CHR2P178142222	MM6MSPIS00096139	chr2	178142222	1	50	0.52
CHRXP53274732	MM6MSPIS00686436	chrX	53274732	1	50	0.38
CHRXP05972252	MM6MSPIS00677952	chrX	5972252	1	49	0.67
CHR7P121975642	MM6MSPIS00300229	chr7	121975642	1	50	0.46
CHR7P112150469	MM6MSPIS00296688	chr7	112150469	1	50	0.52
CHRXP11224754	MM6MSPIS00679526	chrX	11224754	1	50	0.32
CHRXP36025421	MM6MSPIS00683340	chrX	36025421	1	50	0.44
CHR7P136796034	MM6MSPIS00306091	chr7	136796034	1	50	0.54
CHRXP42799546	MM6MSPIS00684291	chrX	42799546	1	50	0.56
CHRXP31724374	MM6MSPIS00682614	chrX	31724374	1	50	0.3
CHRXP30873343	MM6MSPIS00682365	chrX	30873343	1	50	0.3
CHRXP51423785	MM6MSPIS00686053	chrX	51423785	1	50	0.42
CHR7P96219999	MM6MSPIS00292932	chr7	96219999	1	50	0.5
CHR7P104194394	MM6MSPIS00294562	chr7	104194394	1	50	0.48
CHRXP43215724	MM6MSPIS00684473	chrX	43215724	1	50	0.58
CHRXP155881813	MM6MSPIS00702988	chrX	155881813	1	50	0.32
CHR7P115855699	MM6MSPIS00297838	chr7	115855699	1	50	0.4
CHR6P05856397	MM6MSPIS00229818	chr6	5856397	1	50	0.36
CHR7P112578626	MM6MSPIS00296867	chr7	112578626	1	50	0.28
CHR7P62206230	MM6MSPIS00284404	chr7	62206230	1	50	0.3
CHR7P108726250	MM6MSPIS00295871	chr7	108726250	1	50	0.36
CHR7P72777835	MM6MSPIS00286545	chr7	72777835	1	50	0.38
CHR7P126419315	MM6MSPIS00301916	chr7	126419315	1	50	0.48
CHR7P73519568	MM6MSPIS00286959	chr7	73519568	1	50	0.68
CHR7P66656339	MM6MSPIS00285253	chr7	66656339	1	50	0.36
CHR7P129748714	MM6MSPIS00303174	chr7	129748714	1	50	0.36
CHRXP10240168	MM6MSPIS00679124	chrX	10240168	1	50	0.56
CHR7P73103640	MM6MSPIS00286688	chr7	73103640	1	50	0.42
CHR7P119443621	MM6MSPIS00298739	chr7	119443621	1	50	0.54
CHR7P121840706	MM6MSPIS00300118	chr7	121840706	1	50	0.5
CHRXP05817998	MM6MSPIS00677850	chrX	5817998	1	50	0.54
CHRXP128555106	MM6MSPIS00698359	chrX	128555106	1	50	0.3
CHRXP152971962	MM6MSPIS00702509	chrX	152971962	1	50	0.58
CHRXP145767060	MM6MSPIS00701359	chrX	145767060	1	50	0.46
CHRXP20438306	MM6MSPIS00680860	chrX	20438306	1	50	0.3
