SEQ_ID	CHROMOSOME	START	STOP	SEQ_LENGTH	REPEATS
MM6MSPIS00690755	chrX	81294565	81295582	1018	406
MM6MSPIS00292185	chr7	94609060	94610216	1157	0
MM6MSPIS00288594	chr7	77493338	77494071	734	58
MM6MSPIS00229944	chr6	6275566	6276664	1099	0
MM6MSPIS00694154	chrX	99064104	99065795	1692	1245
MM6MSPIS00699293	chrX	133973208	133974942	1735	791
MM6MSPIS00230317	chr6	7761911	7762945	1035	224
MM6MSPIS00683023	chrX	33314570	33314771	202	47
MM6MSPIS00283989	chr7	61447137	61448980	1844	551
MM6MSPIS00283895	chr7	61243100	61243312	213	84
MM6MSPIS00289537	chr7	83807606	83809444	1839	634
MM6MSPIS00683546	chrX	37044957	37046814	1858	564
MM6MSPIS00285057	chr7	65432467	65433250	784	118
MM6MSPIS00266601	chr7	5987112	5987633	522	94
MM6MSPIS00688389	chrX	67547736	67549516	1781	1339
MM6MSPIS00683159	chrX	34262743	34264009	1267	637
MM6MSPIS00291591	chr7	93323084	93323887	804	37
MM6MSPIS00287668	chr7	74667648	74667948	301	12
MM6MSPIS00636950	chr18	13158626	13160247	1622	833
MM6MSPIS00702262	chrX	151247700	151248115	416	209
MM6MSPIS00284241	chr7	61921562	61922587	1026	0
MM6MSPIS00684316	chrX	42843435	42844438	1004	237
MM6MSPIS00289702	chr7	84360412	84362184	1773	379
MM6MSPIS00282951	chr7	58898731	58899530	800	176
MM6MSPIS00690761	chrX	81314149	81315516	1368	924
MM6MSPIS00302853	chr7	128838698	128839525	828	348
MM6MSPIS00675941	chr19	56460740	56461166	427	0
MM6MSPIS00695680	chrX	109525953	109526327	375	151
MM6MSPIS00293891	chr7	101608825	101609095	271	0
MM6MSPIS00688788	chrX	68842537	68844284	1748	798
MM6MSPIS00288372	chr7	76539816	76540282	467	0
MM6MSPIS00293443	chr7	99269223	99269580	358	0
MM6MSPIS00229798	chr6	5813676	5815465	1790	685
MM6MSPIS00299343	chr7	120650485	120651354	870	819
MM6MSPIS00701000	chrX	143923168	143923735	568	117
MM6MSPIS00446454	chr11	87199477	87199918	442	329
MM6MSPIS00294487	chr7	104019343	104019777	435	186
MM6MSPIS00297229	chr7	113748341	113749734	1394	674
MM6MSPIS00303612	chr7	130899026	130899828	803	0
MM6MSPIS00301460	chr7	125198704	125200507	1804	163
MM6MSPIS00695303	chrX	106686097	106687955	1859	1292
MM6MSPIS00303220	chr7	129877081	129877878	798	0
MM6MSPIS00294034	chr7	102440971	102442649	1679	1395
MM6MSPIS00701251	chrX	145132304	145132966	663	108
MM6MSPIS00296387	chr7	110866811	110868751	1941	234
MM6MSPIS00295538	chr7	107122219	107123559	1341	58
MM6MSPIS00292353	chr7	95003846	95004167	322	0
MM6MSPIS00305962	chr7	136367614	136369274	1661	0
MM6MSPIS00703946	chrX	161158182	161159983	1802	1382
MM6MSPIS00299547	chr7	120990454	120991118	665	0
MM6MSPIS00258389	chr6	125953329	125954926	1598	839
MM6MSPIS00297415	chr7	114631420	114632941	1522	987
MM6MSPIS00293328	chr7	98405405	98407035	1631	1312
MM6MSPIS00288363	chr7	76475193	76476665	1473	1127
MM6MSPIS00292008	chr7	94188545	94190461	1917	0
MM6MSPIS00292401	chr7	95074133	95074780	648	0
MM6MSPIS00296179	chr7	110129259	110129776	518	33
MM6MSPIS00305162	chr7	134564324	134565083	760	206
MM6MSPIS00297949	chr7	116097069	116097382	314	0
MM6MSPIS00297833	chr7	115846180	115847617	1438	874
MM6MSPIS00288056	chr7	75537704	75538152	449	93
MM6MSPIS00686171	chrX	52063534	52065523	1990	558
MM6MSPIS00302435	chr7	127609052	127610510	1459	800
MM6MSPIS00306070	chr7	136770833	136772077	1245	70
MM6MSPIS00446459	chr11	87215388	87215728	341	86
MM6MSPIS00283667	chr7	60534634	60535764	1131	117
MM6MSPIS00691946	chrX	89106700	89107226	527	272
MM6MSPIS00283633	chr7	60416609	60416991	383	124
MM6MSPIS00294145	chr7	103028231	103029909	1679	48
MM6MSPIS00704113	chrX	162919798	162920040	243	0
MM6MSPIS00679269	chrX	10457834	10458759	926	5
MM6MSPIS00303326	chr7	130101254	130101692	439	313
MM6MSPIS00693013	chrX	94577834	94578240	407	0
MM6MSPIS00697213	chrX	120306505	120307895	1391	121
MM6MSPIS00303426	chr7	130351709	130352023	315	0
MM6MSPIS00704155	chrX	163288556	163290077	1522	0
MM6MSPIS00680580	chrX	18841313	18843162	1850	1591
MM6MSPIS00682602	chrX	31696905	31698572	1668	799
MM6MSPIS00230452	chr6	8478978	8479241	264	0
MM6MSPIS00439413	chr11	70470002	70470768	767	268
MM6MSPIS00229987	chr6	6507721	6508117	397	3
MM6MSPIS00283524	chr7	60185005	60186279	1275	206
MM6MSPIS00304237	chr7	132484786	132485863	1078	966
MM6MSPIS00683269	chrX	35352597	35354285	1689	933
MM6MSPIS00230483	chr6	8616189	8617192	1004	0
MM6MSPIS00285044	chr7	65335712	65337625	1914	1210
MM6MSPIS00294338	chr7	103602435	103602702	268	101
MM6MSPIS00537055	chr14	51025963	51026770	808	367
MM6MSPIS00684430	chrX	43041665	43042457	793	0
MM6MSPIS00292039	chr7	94269731	94270555	825	567
MM6MSPIS00691789	chrX	88581960	88582613	654	0
MM6MSPIS00688583	chrX	68205797	68206071	275	0
MM6MSPIS00229439	chr6	4547112	4548135	1024	1
MM6MSPIS00702232	chrX	151167688	151168090	403	0
MM6MSPIS00608007	chr17	11571882	11572809	928	0
MM6MSPIS00578096	chr15	97117851	97119078	1228	259
MM6MSPIS00304932	chr7	134230840	134231688	849	0
MM6MSPIS00304599	chr7	133581080	133582610	1531	38
MM6MSPIS00304825	chr7	134004236	134004718	483	148
MM6MSPIS00285150	chr7	66034601	66034878	278	4
MM6MSPIS00702507	chrX	152969824	152971339	1516	578
MM6MSPIS00229940	chr6	6269871	6271823	1953	1066
MM6MSPIS00287839	chr7	75044466	75045227	762	0
